Update: 20240831,,,,,,,,,,,,
H: Hepdata tables,,D: data point extraction of preliminary plots,,,X: will not include,M: data table missing for published results,,,,,,
,Web,Collaboration,Probe,Collision system,Observable,Dataset / Version,e-print,Reference,,,,
,,Initial production & Total cross-section,,,,,,,,,,
Published,H,PHENIX,Inclusive J/ψ,AuAu,RAA,,1208.2251,PRC 86 (2012) 064901,,,qqbar,charm
Preliminary,D,STAR,Inclusive J/ψ,AuAu,RAA,54.4 GeV,2204.00000,,,,qqbar,charm
Published,H,STAR,Inclusive J/ψ,AuAu,RAA,200 GeV,1905.13669,PLB 797 (2019) 134917,,,qqbar,charm
Published,,STAR,Inclusive J/ψ,AuAu,RAA,,1607.07517,PLB 771 (2017) 13,,,qqbar,charm
Published,X,STAR,Inclusive J/ψ,AuAu,RAA,200 GeV (2010),1310.3563,PRC 90 (2014) 024906,,,qqbar,charm
Published,X,STAR,Inclusive J/ψ,AuAu,RAA,200 GeV,1208.2736,PLB 722 (2013) 55,,,qqbar,charm
Preliminary,D,STAR,Inclusive J/ψ,RuRu+ZrZr,RAA,200 GeV,2204.00001,QM'22,,,qqbar,charm
Published,,STAR,Inclusive J/ψ,CuCu,RAA,200 GeV,1310.3563,PRC 90 (2014) 024906,,,qqbar,charm
Published,,STAR,Inclusive J/ψ,CuCu,RAA,200 GeV,0904.0439,PRC 80 (2009) 041902,,,qqbar,charm
Published,H,PHENIX,Inclusive J/ψ,CuCu,RAA,200 GeV,0801.0220,PRL101 (2008) 122301,,,qqbar,charm
Published,H,PHENIX,Inclusive J/ψ,CuAu,RAA,200 GeV,1404.1873,PRC 90 (2014) 064908,,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,PbPb,RAA (mid),5.02 TeV (2018),2303.13361,PLB 849 (2024) 138451,,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,PbPb,RAA (mid),5.02 TeV (2015),1910.14404,PLB 805 (2020) 135434,,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,PbPb,RAA (fwd),5.02 TeV (15+18),2303.13361,PLB 849 (2024) 138451,fwd vs Npart is from 1606.08197,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,PbPb,RAA (fwd),5.02 TeV (2015),1909.03158,JHEP 02 (2020) 041,,,qqbar,charm
Obsolete,X,ALICE,Inclusive J/ψ,PbPb,RAA (fwd),5.02 TeV (2015),1606.08197,PLB 766 (2017) 212,,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,PbPb,RAA,2.76 TeV,1506.08804,JHEP 05 (2016) 179,,,qqbar,charm
Obsolete,X,ALICE,Inclusive J/ψ,PbPb,RAA,2.76 TeV,1311.0214,PLB 734 (2014) 314,,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,XeXe,RAA ,5.44 TeV,1805.04383,PLB 785 (2018) 419,,,qqbar,charm
Published,H,ALICE,Inclusive ψ(2S),PbPb,,5.02 TeV (15+18),2210.08893,PRL 132 (2024) 042301,,,qqbar,charm
Published,H,ALICE,Inclusive ψ(2S),PbPb,ψ(2S) to J/ψ,2.76 TeV,1506.08804,JHEP 05 (2016) 179,,,qqbar,charm
Preliminary,,STAR,Inclusive ψ(2S),RuRu+ZrZr,ψ(2S) to J/ψ,200 GeV,,Quarkonia'24,,,qqbar,charm
,,,Bottomonia,,,,,,,,,
e-print,H,CMS,Υ(nS),PbPb,RAA,5.02 TeV (2018),2303.17026,,Y(3S),,qqbar,beauty
Published,H,CMS,Υ(nS),PbPb,RAA,5.02 TeV (2015),1805.09215,PLB 790 (2019) 270,,,qqbar,beauty
Published,H,CMS,Υ(nS),PbPb,RAA,2.76 TeV,1611.01510,PLB 770 (2017) 357,,,qqbar,beauty
Published,H,ALICE,Υ(nS),PbPb,RAA,5.02 TeV (2015+18),2011.05758,PLB 822 (2021) 136579,,,qqbar,beauty
Published,H,ALICE,Υ(nS),PbPb,RAA,5.02 TeV (2015),1805.04387,PLB 790 (2019) 89,,,qqbar,beauty
Published,H,ALICE,Υ(nS),PbPb,RAA,2.76 TeV,1405.4493,PLB 738 (2014) 361,,,qqbar,beauty
Published,D,ATLAS,Υ(nS),PbPb,RAA,5.02 TeV (2018),2205.03042,PRC 107 (2023) 054912,wait for hepdata to change to hepdata,,qqbar,beauty
Published,H,STAR,,AuAu,RAA,200 GeV,2207.06568,PRL 130 (2023) 112301,,,qqbar,beauty
Published,X,PHENIX,Υ(1S+2S+3S),AuAu,RAA,200 GeV,1404.2246,PRC 91 (2015) 024913,,,qqbar,beauty
,,Bulk interaction: Correlation,,,,,,,,,,
,,,Light,,,,,,,,,
Published,H,CMS,Charged,PbPb,,5.02 TeV (2015),1702.00630,PLB 776 (2017) 195,,,,
Published,,ALICE,Identified,PbPb,v2,5.02 TeV (15+18),2206.04587,JHEP 05 (2023) 243,,,,
Published,,LHCb,Charged,PbPb,,5.02 TeV (2018),2311.09985,PRC 109 (2024) 054908,,,,
Published,H,ALICE,Identified,PbPb,,5.02 TeV (2015),1805.04390,JHEP 09 (2018) 006,,,,
,,,Charm,,,,,,,,,
Published,X,CMS,Prompt D0,PbPb,,5.02 TeV (2015),1708.03497,PRL 120 (2018) 202301,,,corr,charm
Published,H,CMS,Prompt D0,PbPb,,5.02 TeV (2018),2009.12628,PLB 816 (2021) 136253,,,corr,charm
Published,,CMS,Prompt D0,PbPb,v2{4},5.02 TeV (2018),2112.12236,PRL 129 (2022) 022001,,,corr,charm
Published,X,ALICE,Prompt D,PbPb,v2,5.02 TeV (2015),1707.01005,PRL 120 (2018) 102301,,,corr,charm
Published,X,ALICE,Prompt D,PbPb,v2 (ESE),5.02 TeV (2015),1809.09371,JHEP 02 (2019) 150,,,corr,charm
Published,H,ALICE,Prompt D,PbPb,v2 (ESE),5.02 TeV (2018),2005.11131,PLB 813 (2021) 136054,,,corr,charm
Published,H,STAR,Prompt D0,AuAu,v2,200 GeV,1701.06060,PRL 118 (2017) 212301,,,corr,charm
